Кратк,Субъе,Вид д�,Широт,Долго,Насел,Регио,Округ,icon_url
филиал «МЧ-12» ФКУЗ МСЧ-42 ФСИН России,Кемеровская область,"Медико-санитарная часть, в том числе центральная","55.326897","86.057274",Кемерово,Кемеровская область,Сибирский федеральный округ,./0.png
филиал «МЧ-13» ФКУЗ МСЧ-42 ФСИН России,Кемеровская область,"Медико-санитарная часть, в том числе центральная","53.638084","87.20802",Кузнецкий,Кемеровская область,Сибирский федеральный округ,./0.png
филиал «МЧ-14» ФКУЗ МСЧ-42 ФСИН России,Кемеровская область,"Медико-санитарная часть, в том числе центральная","56.216297","87.72799",Мариинск,Кемеровская область,Сибирский федеральный округ,./0.png
филиал «МЧ-15» ФКУЗ МСЧ-42 ФСИН России,Кемеровская область,"Медико-санитарная часть, в том числе центральная","56.092827","86.07084",Анжеро-Судженск,Кемеровская область,Сибирский федеральный округ,./0.png
филиал «МЧ-16» ФКУЗ МСЧ-42 ФСИН России,Кемеровская область,"Медико-санитарная часть, в том числе центральная","56.214977","87.69669",Мариинск,Кемеровская область,Сибирский федеральный округ,./0.png
филиал «Б-1» ФКУЗ МСЧ-42 ФСИН России,Кемеровская область,"Медико-санитарная часть, в том числе центральная","55.329113","86.10184",Кемерово,Кемеровская область,Сибирский федеральный округ,./0.png
филиал «ЗП -1 Б-1» ФКУЗ МСЧ-42 ФСИН России,Кемеровская область,"Медико-санитарная часть, в том числе центральная","56.2068","86.428",Яя,Кемеровская область,Сибирский федеральный округ,./0.png
филиал «ЗП -2 Б-1» ФКУЗ МСЧ-42 ФСИН России,Кемеровская область,"Медико-санитарная часть, в том числе центральная","54.456352","86.31464",Белово,Кемеровская область,Сибирский федеральный округ,./0.png
филиал «Б-2» ФКУЗ МСЧ-42 ФСИН России,Кемеровская область,"Медико-санитарная часть, в том числе центральная","56.214977","87.69669",Мариинск,Кемеровская область,Сибирский федеральный округ,./0.png
филиал «ТБ-1» ФКУЗ МСЧ-42 ФСИН России,Кемеровская область,"Медико-санитарная часть, в том числе центральная","53.728073","87.246605",Новокузнецк,Кемеровская область,Сибирский федеральный округ,./0.png
филиал «ТБ-2» ФКУЗ МСЧ-42 ФСИН России,Кемеровская область,"Медико-санитарная часть, в том числе центральная","56.102028","85.50639",Таежный,Кемеровская область,Сибирский федеральный округ,./0.png
филиал «ТБ-3» ФКУЗ МСЧ-42 ФСИН России,Кемеровская область,"Медико-санитарная часть, в том числе центральная","56.17103","87.69312",Мариинск,Кемеровская область,Сибирский федеральный округ,./0.png
филиал «Б-3» ФКУЗ МСЧ-42 ФСИН России,Кемеровская область,"Медико-санитарная часть, в том числе центральная","53.74535","87.132324",Центральный,Кемеровская область,Сибирский федеральный округ,./0.png
филиал «ЦМСР №1» ФКУЗ МСЧ-42 ФСИН России,Кемеровская область,"Медико-санитарная часть, в том числе центральная","55.34261","86.068665",Кемерово,Кемеровская область,Сибирский федеральный округ,./0.png
филиал «ЦГСЭН» ФКУЗ МСЧ-42 ФСИН России,Кемеровская область,"Медико-санитарная часть, в том числе центральная","55.38917","85.99261",Кемерово,Кемеровская область,Сибирский федеральный округ,./0.png
